user_id,date_week,requests_count
a4c66ce4,2022-07-11 00:00:00,
7b48f84e,2022-07-11 00:00:00,3
01786865,2022-07-11 00:00:00,9
9d59f73e,2022-07-11 00:00:00,14
417eb142,2022-07-11 00:00:00,1
ee33c311,2022-07-11 00:00:00,4
092f4697,2022-07-11 00:00:00,4
39ec48d3,2022-07-11 00:00:00,
be2f1449,2022-07-11 00:00:00,2
9ce1d8b1,2022-07-11 00:00:00,3
b0ad9db6,2022-07-11 00:00:00,
08ddf844,2022-07-11 00:00:00,
5ec5b87f,2022-07-11 00:00:00,5
0a8a7add,2022-07-11 00:00:00,9
a6d6a487,2022-07-11 00:00:00,5
6b1cf754,2022-07-11 00:00:00,1
e4a19d84,2022-07-11 00:00:00,5
b5cdff62,2022-07-11 00:00:00,7
d88852a3,2022-07-11 00:00:00,
77e68b17,2022-07-11 00:00:00,2
dd55ca94,2022-07-11 00:00:00,3
5f8ee416,2022-07-11 00:00:00,3
2aaa5c3e,2022-07-11 00:00:00,2
bc44e242,2022-05-30 00:00:00,807
7da03582,2022-05-30 00:00:00,391
4ccaa298,2022-05-30 00:00:00,24894
de546516,2022-05-30 00:00:00,280
b282da8d,2022-05-30 00:00:00,1330
be9c4836,2022-05-30 00:00:00,361
cea3ba58,2022-05-30 00:00:00,1041
1271e2ef,2022-05-30 00:00:00,11
74ebd03c,2022-05-30 00:00:00,16
9f8b8849,2022-05-30 00:00:00,162
83a30d18,2022-05-30 00:00:00,561
22bfcf8e,2022-05-30 00:00:00,51
b139d18e,2022-05-30 00:00:00,1606
bba3ac83,2022-05-30 00:00:00,1
89b937c2,2022-05-30 00:00:00,
6727d9dc,2022-05-30 00:00:00,1
bbb47fa1,2022-05-30 00:00:00,3
c01b708a,2022-05-30 00:00:00,
805380d8,2022-05-30 00:00:00,
e708e497,2022-05-30 00:00:00,
adb11ab0,2022-05-30 00:00:00,
d869c911,2022-05-30 00:00:00,3716
072cb744,2022-05-30 00:00:00,2
c7f53f7a,2022-05-30 00:00:00,
3b857b19,2022-05-30 00:00:00,4
a4a3c789,2022-05-30 00:00:00,2
7426e224,2022-05-30 00:00:00,
7ec4a9eb,2022-05-30 00:00:00,
5a180e8b,2022-05-30 00:00:00,40
9b24812f,2022-05-30 00:00:00,3
0f6c3f51,2022-05-30 00:00:00,4
ef5928ad,2022-05-30 00:00:00,
98067cdc,2022-05-30 00:00:00,
16334d26,2022-05-30 00:00:00,9
fd0fe4ab,2022-05-30 00:00:00,110
807eb049,2022-05-30 00:00:00,189
d0c90aed,2022-05-30 00:00:00,88
831feb4c,2022-05-30 00:00:00,
2806e0ff,2022-05-30 00:00:00,
b3e8bd22,2022-05-30 00:00:00,1
fd763dc5,2022-05-30 00:00:00,
2dc98c30,2022-05-30 00:00:00,1
b24fdbc1,2022-05-30 00:00:00,
8aa995e5,2022-05-30 00:00:00,2
58cd023d,2022-05-30 00:00:00,62
611d9998,2022-05-30 00:00:00,253
2a51aa98,2022-05-30 00:00:00,17
a94e3b2e,2022-05-30 00:00:00,1
7326bcc9,2022-05-30 00:00:00,
690383e0,2022-05-30 00:00:00,80
c5da8be2,2022-05-30 00:00:00,
0b5a7afa,2022-05-30 00:00:00,2
b87a37ad,2022-05-30 00:00:00,
f1bc3894,2022-05-30 00:00:00,2
d384a9b5,2022-05-30 00:00:00,
e23aa3f9,2022-05-30 00:00:00,359
7b24ca76,2022-05-30 00:00:00,2
1ad74f52,2022-05-30 00:00:00,
42dcebc7,2022-05-30 00:00:00,
7efae2b8,2022-05-30 00:00:00,
92ce694f,2022-05-30 00:00:00,15
3d2ee28e,2022-05-30 00:00:00,5
b99917e3,2022-05-30 00:00:00,
63569668,2022-05-30 00:00:00,4
b16a2d47,2022-05-30 00:00:00,
1a042086,2022-05-30 00:00:00,3
80cb6a54,2022-05-30 00:00:00,
fb4e057f,2022-05-30 00:00:00,3
5b683734,2022-05-30 00:00:00,1
dffdf81a,2022-05-30 00:00:00,1
310b4a84,2022-05-30 00:00:00,100
4de5b7d4,2022-05-30 00:00:00,24
8575312d,2022-05-30 00:00:00,64
55423a5d,2022-05-30 00:00:00,
7b7a0681,2022-05-30 00:00:00,2
5cb6f50f,2022-05-30 00:00:00,
e8c78947,2022-05-30 00:00:00,
f83b4148,2022-05-30 00:00:00,
fb321a58,2022-05-30 00:00:00,29
d6feb8a9,2022-05-30 00:00:00,4
75cbc0da,2022-05-30 00:00:00,1
ea9d2fd8,2022-05-30 00:00:00,9
60303587,2022-05-30 00:00:00,3
83dd96ce,2022-05-30 00:00:00,4
81e6045d,2022-05-30 00:00:00,1
e0d352b2,2022-05-30 00:00:00,1
1a193255,2022-05-30 00:00:00,5
d61f5332,2022-05-30 00:00:00,2
6ac991e0,2022-05-30 00:00:00,
9651d99e,2022-05-30 00:00:00,4
8065e182,2022-05-30 00:00:00,
328c27b7,2022-05-30 00:00:00,22
82e92e4c,2022-05-30 00:00:00,97
a3e5b407,2022-05-30 00:00:00,80
5fcf4cb6,2022-05-30 00:00:00,1
426c4faf,2022-05-30 00:00:00,1
686f2c0f,2022-05-30 00:00:00,2
c7154ae0,2022-05-30 00:00:00,1
8dadad0f,2022-05-30 00:00:00,
d1165fa9,2022-05-30 00:00:00,2
03d1887d,2022-05-30 00:00:00,
499c3967,2022-05-30 00:00:00,
ad4513c0,2022-05-30 00:00:00,17
47aaae95,2022-05-30 00:00:00,20
fda6260e,2022-05-30 00:00:00,
234439de,2022-05-30 00:00:00,
f4167a77,2022-05-30 00:00:00,1
03aafb0d,2022-05-30 00:00:00,1
d7a3955a,2022-05-30 00:00:00,3
37e702ab,2022-05-30 00:00:00,
5e7c278b,2022-05-30 00:00:00,2
9d40910a,2022-05-30 00:00:00,4
87d9e81a,2022-05-30 00:00:00,2
6327479c,2022-05-30 00:00:00,
b384a601,2022-05-30 00:00:00,1
2d5e19b1,2022-05-30 00:00:00,3
41bc69a6,2022-05-30 00:00:00,
ef783942,2022-05-30 00:00:00,5
44529d74,2022-05-30 00:00:00,2
f4623509,2022-05-30 00:00:00,7
2576246d,2022-05-30 00:00:00,
54f6b864,2022-05-30 00:00:00,4
082a3def,2022-05-30 00:00:00,3
a094c0d6,2022-05-30 00:00:00,
ff171d42,2022-05-30 00:00:00,
4348e800,2022-05-30 00:00:00,
893b8d98,2022-05-30 00:00:00,2
92b7a95e,2022-05-30 00:00:00,1
65af9943,2022-05-30 00:00:00,
39ab7722,2022-05-30 00:00:00,
39a3d057,2022-05-30 00:00:00,
135efcb2,2022-05-30 00:00:00,2
b9d6d6e8,2022-05-30 00:00:00,3
2a472325,2022-05-30 00:00:00,5
d04bc86a,2022-05-30 00:00:00,1
a0a3f59c,2022-05-30 00:00:00,2
a6ce74b2,2022-05-30 00:00:00,2
31c36848,2022-05-30 00:00:00,90
1eedbaca,2022-05-30 00:00:00,5
d1498322,2022-05-30 00:00:00,6
e3fe6f63,2022-05-30 00:00:00,
d7fc67c4,2022-05-30 00:00:00,9
b3db2c7c,2022-05-30 00:00:00,1
cdcf6745,2022-05-30 00:00:00,1
6f8a2e2b,2022-05-30 00:00:00,10
2e853af9,2022-05-30 00:00:00,3
bce7ab52,2022-05-30 00:00:00,
97404f40,2022-05-30 00:00:00,
e0a3aba9,2022-05-30 00:00:00,3
c1a4fa50,2022-05-30 00:00:00,
b9baf8d0,2022-05-30 00:00:00,1
40bbd687,2022-05-30 00:00:00,9
06a50bc8,2022-05-30 00:00:00,
9c5063a9,2022-05-30 00:00:00,17
340bf1fc,2022-05-30 00:00:00,5
9c25227c,2022-05-30 00:00:00,1
9c8d758d,2022-05-30 00:00:00,6
d007da36,2022-05-30 00:00:00,450
05d9d127,2022-05-30 00:00:00,7
9f17f370,2022-05-30 00:00:00,99
7314c0af,2022-05-30 00:00:00,1
929182c0,2022-05-30 00:00:00,2
3a7b134c,2022-05-30 00:00:00,1
dd47dd62,2022-05-30 00:00:00,3
906b5f3f,2022-05-30 00:00:00,1
bc136e57,2022-05-30 00:00:00,13
237c4f7d,2022-05-30 00:00:00,
03fe1de4,2022-05-30 00:00:00,4
6a784c54,2022-05-30 00:00:00,5
6c920937,2022-05-30 00:00:00,1
77d92757,2022-05-30 00:00:00,1
96cd7e3b,2022-05-30 00:00:00,1
37ab4873,2022-05-30 00:00:00,3
26201156,2022-05-30 00:00:00,3
e0f3efaa,2022-05-30 00:00:00,
2163d9c0,2022-05-30 00:00:00,
67fe4d90,2022-05-30 00:00:00,4
d8f40e8d,2022-05-30 00:00:00,6
457be543,2022-05-30 00:00:00,1
468b5dd6,2022-05-30 00:00:00,3
2a064c3e,2022-05-30 00:00:00,
524e6073,2022-05-30 00:00:00,42
e37adcc9,2022-05-30 00:00:00,1
f5abf28a,2022-05-30 00:00:00,
8f4dfafc,2022-05-30 00:00:00,2
e66a07ee,2022-05-30 00:00:00,
e3f8ad18,2022-05-30 00:00:00,1
e5be6a7f,2022-05-30 00:00:00,
28b2901a,2022-05-30 00:00:00,1
e37e9a27,2022-05-30 00:00:00,4
60e79d23,2022-05-30 00:00:00,12
0dbcda9e,2022-05-30 00:00:00,1
53cb60c8,2022-05-30 00:00:00,2
b9923621,2022-05-30 00:00:00,2
ca2b2adb,2022-05-30 00:00:00,
2794a9b8,2022-05-30 00:00:00,2
a2628e35,2022-05-30 00:00:00,8
78e18547,2022-05-30 00:00:00,3
43b87552,2022-05-30 00:00:00,1
a4c66ce4,2022-05-30 00:00:00,1
7b48f84e,2022-05-30 00:00:00,
01786865,2022-05-30 00:00:00,15
9d59f73e,2022-05-30 00:00:00,10
417eb142,2022-05-30 00:00:00,
ee33c311,2022-05-30 00:00:00,2
092f4697,2022-05-30 00:00:00,4
39ec48d3,2022-05-30 00:00:00,1
be2f1449,2022-05-30 00:00:00,4
9ce1d8b1,2022-05-30 00:00:00,1
b0ad9db6,2022-05-30 00:00:00,1
08ddf844,2022-05-30 00:00:00,3
5ec5b87f,2022-05-30 00:00:00,3
0a8a7add,2022-05-30 00:00:00,9
a6d6a487,2022-05-30 00:00:00,5
6b1cf754,2022-05-30 00:00:00,2
